Title,Directions,Quantity,Ingredient,Unit01,Quantity02,Unit02,Quantity03,Unit03,Quantity04,Unit04,Quantity05,Unit05,Quantity06,Unit06,Quantity07,Unit07,Quantity08,Unit08,Quantity09,Unit09,Quantity10,Unit10,Quantity11,Unit11,Quantity12,Unit12,Quantity13,Unit13,Quantity14,Unit14,Ingredient14,Quantity15,Unit15,Quantity16,Unit16,Quantity17,Unit17,Quantity18,Unit18,Quantity19,Unit19,Category
Pineapple Graham Bars,"Preheat oven to 350 degrees.  Lightly grease 8""x8""x2"" pan.  Mix butter with sugar until light.  Beat in egg.  Stir in flour, graham cracker crumbs, pineapple, and walnuts.  Bake 30-35 minutes or until browned and surface is firm to the touch.  Let cool completely in plan. Cut into 20 bars.",04-Jan,"butter or margarine,light brown sugar, firmly packed,egg,sifted flour,graham cracker crumbs,crushed pineapple, drained.,walnuts, chopped",cup,02-Jan,cup,1,,02-Jan,cup,02-Jan,cup,1,8 1/2 oz. can,02-Jan,cup,,,,,,,,,,,,,,,,,,,,,,,,,,Cookies
Prune Nut Bars,"Cook Prunes - drain and chop.  Mix margarine, sugar and 1 cup of four.  Press into 9"" square pan.  Bake at 350 degrees for 25 minutes.   Sift remaining 1/3 cup flour with baking powder and salt.  Beat brown sugar into eggs, lemon and vanilla.  Add flour, mix well.  Add prunes, nuts, and coconut.  Spread over baked bars.  Bake at 350 degrees for 30-35 minutes.  Cool.  Cut into 24 bars.  Roll in confectioner's sugar.  ",1 1/2,"pitted prunes,margarine,sugar,sifted flour,baking powder,salt,brown sugar,eggs,lemon juice,vanilla,walnuts, chopped,coconut,confectioner's sugar",cups,02-Jan,cup,04-Jan,cup,1 1/3,cups,02-Jan,tsp,04-Jan,tsp,1,cup,2,,2,tsp,1,tsp,1,cup,02-Jan,cup,,,,,,,,,,,,,,,,Cookies
Pumpkin Oatmeal Cookies,"Mix eggs, sugar, oil, spices, and pumpkin.  Add oats, soda, salt nuts, and raisins.  Mix well.  Add flour, 1/2 at a time.  Drop by teaspoons on ungreased cookie sheet.  (These will not spread.)  Bake 10 minutes at 325 degrees.  Remove from pan.  Store in tightly sealed container.",4,"eggs,sugar,oil,oatmeal,soda,salt,nuts,raisins,allspice,ginger,pumpkin pie spice,cinnamon,cloves,pumpkin pie spice,flour",,3,cups,1,cup,3,cups,2,tsp,1,tsp,1,cup,1,cup,02-Jan,tsp,04-Mar,tsp,1,tsp,1,tsp,1,tsp,1,tsp,nutmeg,1,small can,4,cups ,,,,,,,Cookies
Snickerdoodles,Mix first 7 ingredients.  Roll in balls.  Dip in mixture of cinnamon and sugar.  Bake for 8-10 minutes at 375 degrees.  Makes 4 dozen.,2 3/4,"flour,cream of tartar,baking soda,salt,margarine,sugar,eggs,sugar,cinnamon",cups,2,tsp,1,tsp,02-Jan,tsp,04-Mar,cups,1 1/2,cups,2,,2,Tbps,1,tsp,,,,,,,,,,,,,,,,,,,,,,Cookies
Soft Sugar Cookies,"Cream butter.  Add sugar gradually while continuing to cream.  Ad eggs one at a time, beating well after each.  Add vanilla.  Beat until light and fluffy.  Add mixed dry ingredients, alternately with sour cream; begin and end with dry ingredients.  For 3 inch cookies drop by heaping teaspoons.  With spatula flatten into circles about 2 inch wide.  Sprinkle with sugar and cinnamon.  Bake in hot oven - 400 degrees for 10-20 minutes.  Makes about thirty - 3 inch cookies.",02-Jan,"butter or margarine,sugar,eggs,vanilla,sifted flour,salt,baking powder,baking soda,sour cream,cinnamon and sugar",cup,1 1/2,cups,2,,1,tsp,3,cups,1,tsp,02-Jan,tsp,02-Jan,tsp,1,cups,,,,,,,,,,,,,,,,,,,,,,Cookies
Thumbprint Cookies,Mix first 5 ingredients.  Add flour.  Roll into ball.   Make a thumbprint in each ball.  Cook 8-10 minutes at 350 degrees.  Fill with jelly or chopped nuts. ,02-Jan,"Crisco (shortening),egg,sugar,salt,vanilla,flour",cup,1,,2,cups,02-Jan,tsp,1,tsp,1 2/3,cups,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cookies
Walnut Squares,"Cream butter and sugar.  Beat in egg yolk.  Sift four and spice, add to creamed mixture.  Spread dough in 15""x10""x1"" jelly roll pan.  Press flat with hands.  Beat egg white slightly, brush on dough.  Sprinkle nuts on top and press into dough.  Bake in 250 degree oven for 1 hour.  While hot cut into 1 1/2"" squares.  Cool.  Makes about 70.",1,"margarine,sugar,egg,flour,nutmeg,nuts, chopped",cup,1,cup,1,,2,cups,03-Jan,tsp,1,cups,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cookies
Banana Cream Pie,"In a heavy saucepan dissolve cornstarch inwater; stir in sweetened condensed milk and egg yolks.  Cook and stir until thickened and bubbly.  Remove from heat; add margarine and vanilla.  Cool slightly.  Slice 2 bananas; dip in lemon juice and drain.  Arrange on bottom of prepare crust.  Pour filling over bananas; cover.  Chill 4 hours or until set.  Spread top with whipped cream.  Slice remaining bananas; dip in lemon juice, drain and garnish top of pie.  Refrigerate leftovers.",1,"baked pastry shell,cornstarch,water,sweetened condensed milk,egg yolks, beaten,margarine or butter,vanilla,bananas,lemon juice from concentrate,whipped cream",,3,Tbsp,1 2/3,cups,1,14 oz can,3,,2,Tbsp,1,tsp,3,medium,,,,,,,,,,,,,,,,,,,,,,,,Pies
Blackberry Nectarine Pie,,2,"blackberries,sugar,cornstarch,water,nectarines, sliced,baked pie shell,whipped cream",cups,04-Mar,cups,2,Tbsp,1,cup,2 1/2,cups,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pies
Creamy Apple Pie,"Place apples in the pie shell.  Mix together sugar, flour, and salt.  Sprinkle over apples.  in a sauce pan bring cream to boiling point.  Pour over apples.  Sprinkle generously with cinnamon.  Bake at 375 degrees for 45 minutes, until firm.",1,"pie shell, unbaked,tart apples, peeled and sliced,sugar,flour,salt,heavy cream,cinnamon",9 inch,4 or 5,,1,cup,04-Jan,cup,02-Jan,tsp,1,cup,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pies
Dutch Apple Pie,"Combine apples, 1/2 cup sugar, and cinnamon.  Put into the unbaked pie shell.  Top with 1/2 cup sugar, flour, butter, and cinnamon.  Bake 45-50 minutes at 350 degrees.",4,"large apples, sliced,sugar,cinnamon,flour,butter,cinnamon",,1,cup ,1,tsp,04-Mar,cup ,03-Jan,cup ,02-Jan,tsp,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pies
Fresh Strawberry Pie,Slice 1 basket of strawberries.  Put half the berries in the bottom of a baked pie shell. Prepare glaze by combining remaining ingredients and cooking in a double-boiler until thickened.   Stir the other half of the berries into the glaze.  Pour into the shell.  Cool.  Top with whipped cream and halved berries.,2,"cornstarch,sugar,water,red food coloring,butter,lemon juice,strawberries,pie shell, baked",Tbsp,1,cup ,1 1/4,cups,a few,drops,1,Tbsp,1,tsp,1,basket,1,,,,,,,,,,,,,,,,,,,,,,,,,Pies
Lemon Cloud Pie,"Combine in sauce pan 3/4 cup sugar, cornstarch, water, lemon rind, and juice, and slightly beaten egg yolk.  Cook over medium heat stirring constantly until thick.  Remove from heat.  Add softened cheese, blend well.  Cool.  Beat egg whites until stiff.  Add 1/4 sugar.  Fold into lemon mixture.  Spoon into crust.  Chill 2 hours.  Serve with whipped cream.  ",1,"sugar,cornstarch,water,lemon rind, grated,lemon juice,eggs,cream cheese,graham cracker crust",cup,02-Jan,cup,1,cup,1,tsp,03-Jan,cup,2,,4,ounces,,,,,,,,,,,,,,,,,,,,,,,,,,Pies
Lemon Luscious Pie,"Combine sugar, cornstarch, butter, lemon rind, and egg yolk in saucepan.  Stir in milk.  Cook over medium heat, stirring until mixture thickens.  Cool.  Fold in sour cream.  Spoon into pie shell.  Col 12 hours or longer.  Top with whipped cream.  Garnish with chopped walnuts if desired.  ",1,"sugar,cornstarch,butter,lemon rind, grated,lemon juice,egg yolks, slightly beaten,milk,sour cream,pie shell",cup,3,Tbsp,04-Jan,cup,1,Tbsp,04-Jan,cup,3,,1,cup,1,cup,1,"8""",,,,,,,,,,,,,,,,,,,,,,Pies
Lemon Meringue Pie,"Mix sugar, cornstarch, and salt in top of double boiler.  Place over boiling water and add remaining ingredients.  Cook until thick, stirring with whip.  Put into baked pie shell.  Top with meringue.  To make meringue whip 3 egg whites until stiff.  Add 1/4 cup sugar.  Brown 5 to 10 minutes in 400 degree oven.  Chill.  ",1,"sugar,cornstarch,salt,hot water,lemon juice, fresh or bottled,grated lemon juice,egg yolks,butter,egg whites,sugar",cup,4,Tbsp,02-Jan,tsp,2,cups,03-Jan,cup,1,tsp,3,,1,Tbsp,3,,04-Jan,cup,,,,,,,,,,,,,,,,,,,,Pies
Old Fashioned Apple Pie,Combine first 4 ingredients.  Put in unbaked pie shell.  Slice butter on top. Cover with top crust.  Bake at 350 degrees for 1 hour.,5,"sliced,sugar,cinnamon,water,butter",apples,1,cup,04-Jan,tsp,02-Jan,cup,1,Tbsp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pies
Peach Almond Pie,"Sprinkle peaches with lemon and sugar.  Let stand 1 hour.  Drain to get 1 cup syrup.  Add cornstarch to syrup and blend.  Cook over low heat until thick.  Remove from heat.  Add butter, salt, and almond extract.  Cool.  Carefully stir in peaches.  Put in shell.  Chill.  Serve with whipped cream, topped with slivered almonds and marachino cherries.",2,"fresh peaches, sliced,lemon juice,sugar,cornstarch,butter,salt,almond extract,pie shell",cups,1,Tbsp,04-Jan,cup,3,Tbsp,2,tsp,,dash,04-Jan,tsp,1,9 inch,,,,,,,,,,,,,,,,,,,,,,,,Pies
Peach Parfait Pie,Dissolve gelatin in hot water.  At once add 1/4 of ice cream and stir until blended.  Repeat until all of ice cream is added.  Chill until almost firm.  Mix peaches with sugar and fold into mixture.  Pour into baked shell and chill unit firm.  Whip cream and spread on pie.,1,"peach or lemon gelatin,hot water,Peach or vanilla ice cream,fresh peaches, peeled and diced,sugar,baked pie shell, chilled,heavy cream",3 ounce box,1 1/4,cups,1,pint,2,,04-Jan,cup,1,,02-Jan,cup,,,,,,,,,,,,,,,,,,,,,,,,,,Pies
Peanut Butter Ice Cream Pie,"Mix graham cracker crumbs, sugar, and melted margarine.  Press into 9"" pie pan.  Chill.  To make filling whip 1/2 cup whipping cream.  Place ice cream in a bowl and stir to soften.  Fold in peanut butter; then fold in whipped cream.  Spoon mixture into crust.  Freeze about 5 hours.  Remove from freezer about 15 minutes before serving.",1 1/2,"graham cracker crumbs, 18 squares,sugar,margarine, melted,whipped cream or cool whip,vanilla ice cream,chunk style peanut buter",cups,04-Jan,cup,02-Jan,cup,02-Jan,cup,1,quart,02-Jan,cup,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pies
Peanut Butter Pie,Combine first 5 ingredients.  Mix thoroughly.  Pour into pie shell.  Bake at 350 degrees for 15 minutes.  Reduce heat to 350 degrees and bake for 30 to 35 minutes.  It should appear less set in the center.  Chill.  Top with whipped cream.,1,"light or dark corn syrup,sugar,eggs, slightly beaten,vanilla,chunk style peanut butter,pie shell, unbaked,whipped cream",cup,1,cup,3,,02-Jan,tsp,03-Jan,cup,1,,1,cup,,,,,,,,,,,,,,,,,,,,,,,,,,Pies
Pie Crust,"Mix flour, salt, and shortening.  Stir in water enough to bind mixture together to form soft dough.  Makes two 9"" pie crusts or 1 double crust.  For double crust pie bake at 350 degrees for 1 hour.  For pie shell bake at 400 degrees for 10 minutes.",2,"sifted flour,salt,shortening,ice water or 7-up",cups,02-Jan,tsp,03-Feb,cup,4 or 5,Tbsp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pies
Sour Cream Raisin Pie,"Boil raisins in water until plump.  Add flour and sugar.  Cook to thicken slightly then add egg yolks, sour cream, vanilla and nutmeg.  Pour into 9"" bottom crust.  Add top crust.  Sprinkle with sugar.  Bake 50 minutes at 350 degrees. ",1 1/2,"raisins,water,flour,sugar,egg yolks, slightly beaten,sour cream,vanilla,nutmeg",cups,1 1/2,cups,1 1/2,Tbsp,04-Mar,cup,3,,1,cup,1,tsp,02-Jan,tsp,,,,,,,,,,,,,,,,,,,,,,,,Pies
Walnut Pie,Mix well.  Pour into unbaked pie shell.  Top with 1 cup walnuts or pecans.  Bake at 350 degrees for 1 hour.,04-Mar,"sugar,light corn syrup,eggs,evaporated milk,vanilla,flour,nutmeg",cup,04-Mar,cup,3,,1,cup,1,tsp,2,Tbsp,04-Jan,tsp,,,,,,,,,,,,,,,,,,,,,,,,,,Pies
Walnut-Raisin pie,"Mix sugar and butter.  Add eggs one at a time, beating after each is added.  Add raisins nuts, and vanilla. Pour into unbaked pie shell.  Bake at 400 degrees for 10 minutes.  Reduce heat to 375 degrees for 30 minutes.",04-Mar,"sugar,eggs,walnuts, chopped,butter,vanilla,raisins",cup,3,,1,cup,02-Jan,cup,1,tsp,1,cup,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pies
Angel Hash,"Cook cornstarch, sugar, pineapple juice, and egg yolks until thick.  Cool and fold in remaining ingredients.  ",2,"cornstarch,sugar,pineapple juice,eggs,Dream Whip or whipped cream,pineapple tidbits,walnuts, chopped,marshmallows,bananas, sliced",Tbsp,04-Jan,cup,1,cup,2,,1,cup,2 1/2,cups,04-Jan,cup,04-Jan,pound,,,,,,,,,,,,,,,,,,,,,,,,Pies
Blue Cheese Dressing,Mix or shake well.,6,"blue cheese,buttermilk,mayonnaise,white sauterne wine,garlic powder,accent seasoning mix",ounces,1,cup,1,quart,1 1/2,ounces,,dash,,dash,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salads and Dressings
Broccoli Curry Salad,,4,"broccoli, cut into small pieces,raisins,red onion,sunflower seed,mayonnaise,stalks of celery,red wine vinegar,curry, to taste",cups,02-Jan,cup,1,,1,cup,1,cup,2 or 3,,1,Tbsp,,,,,,,,,,,,,,,,,,,,,,,,,,Salads and Dressings
Broccoli Salad,Pour dressing over salad two hours before serving.,2 or 3,"broccoli florets, bite size,mozzarella cheese, shredded,red onion, chopped,crisp bacon, crumbled,mayonnaise,sugar,vinegar",heads,8,ounce,1,small,4 to 5,strips,1,cup,03-Jan,cup,2,Tbsp,,,,,,,,,,,,,,,,,,,,,,,,,,Salads and Dressings
Broccoli Salad with Pineapple,"Cut broccoli flowers.  Chop the top 2 inches of the stems into small pieces.  Mix together broccoli, crisp bacon, drained pineapple, onion, and sunflower seeds.  Blend mayonnaise, sugar, and vinegar to make dressing.  Pour over top of broccoli mixture.  Toss and serve.  Note:  This salad is also great with sliced raw carrots and cauliflower.",5 to 6,"bacon, but small, fry until crisp,broccoli,crushed pineapple, well drained,red onion, chopped fine,sunflower seeds,mayonnaise,sugar,vinegar",strips,1,bunch,1,16 oz. can,1,,02-Jan,cup,1,cup,1,Tbsp,2,Tbsp,,,,,,,,,,,,,,,,,,,,,,,,Salads and Dressings
Carrot Carousel,"Sprinkle gelatine over 1/2 cup of cold orange juice in blender container that will hold 5 cups.  Add boiling orange juice; cover and process at low speed until gelatin dissolves.  Add remaining 1 cup cold orange juice, salt, and salad dressing; process until well blended.  Add carrot pieces; cover and turn to high speed, on and off several times until carrots are finely grated.  Stir in pineapple and syrup; pour into 6 cup mold.  Chill until firm.",2,"Knox Unflavored Gelatin,cold orange juice, divided,boiling orange juice,salt,salad dressing,carrot pieces,crushed pineapple",envelopes,1 1/2,cups,02-Jan,cup,04-Jan,tsp,1,cup,1 1/2,cups,1,13.4 oz. can,,,,,,,,,,,,,,,,,,,,,,,,,,Salads and Dressings
Coleslaw,Shred cabbage.  Mix remaining ingredients to make dressing.  Stir together.,02-Jan,"cabbage,mayonnaise,sour cream,vinegar,sugar,horseradish,salt and pepper,caraway seed (optional)",head,04-Jan,cup,02-Jan,cup,1,Tbsp,1,Tbsp,02-Jan,tsp,,,1,tsp,,,,,,,,,,,,,,,,,,,,,,,,Salads and Dressings
Cranberry Mold,"Mix jello with hot water.  Jell slightly then add cranberry sauce, sour cream, and nuts.  Mix and chill until set.",2,"hot water,cherry jello, or 1 large,whole cranberry sauce,sour cream,nuts, chopped",cups,2,packages,1,can,1,pint,02-Jan,cup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salads and Dressings
Cucumbers in Sour Cream,Stir together.  Refrigerate 30 minutes.,3,"cucumbers, sliced,salt,pepper,chives or scallions, minced,sour cream,lemon juice",cups,1 1/2,tsp,08-Jan,tsp,3,Tbsp,1,cup,2,Tbsp,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salads and Dressings
Five Bean Salad,Drain beans and stir together.  Mix ingredients for dressing.  Combine dressing and beans.,1,"green beans,wax beans,kidney beans,garbanzo beans,bean sprouts,red onion, sliced,sugar,vinegar,oil",can,1,can,1,can,1,can,1,can,1,,02-Jan,cup,02-Jan,cup,02-Jan,cup,,,,,,,,,,,,,,,,,,,,,,Salads and Dressings
Five Cup Salad,Combine all ingredients.  Chill overnight.,1,"pineapple chunks,mandarin oranges,coconut,marshmallows,sour cream",cup,1,cup,1,cup,1,cup,1,cup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salads and Dressings
Garden Vegetable Pasta,"Cut vegetables into birte size pieces.  Cook 5 minutes, until fork tender.  Rinse with cold water.  Cook and chill pasta.  Toss all with Italian Dressing.",,"asparagus,broccoli,cauliflower,green onions,radishes,peeled tomato,avacado,fresh mushrooms,pasta,Italian Dressing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salads and Dressings
Green Bean Salad,"Mix oil, vinegar, onion, and lemon.  Pour over beans.  Chill 3 hour or longer.  Spoon beans onto lettuce with slotted spoon.  Top with crumbled blue cheese and coarsely chopped walnuts",1,"fresh beans,salad oil,white vinegar,red onion, chopped,grated lemon rind,blue cheese,walnuts, chopped",pound,04-Mar,cup,1,cup,02-Jan,cup,2,tsp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salads and Dressings
Heavenly Cheese Salad,"Bring juice to a boil, pour over jello.  Cool.  Mix pineapple, nuts, and cheese.  Add to jello.  Fold in whipped cream.  Pour into mold.  Chill.",1,"lemon jello,pineapple juice + water,crushed pineapple,cream cheese,walnuts, chopped,whipped cream",small package,1,cup,1,cup,8,oz,1,cup,1,pint,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salads and Dressings
Horseradish Dressing,Combine all ingredients in blender or food processor.,02-Jan,"horseradish,mayonnaise,sour cream,buttermilk,oil,onion powder,salt,pepper,kelp,vinegar",cup,4,cups,1,cup,04-Mar,cup,02-Jan,cup,1,tsp,1,tsp,02-Jan,tsp,04-Mar,tsp,04-Jan,cup,,,,,,,,,,,,,,,,,,,,Salads and Dressings
Lemon Cloud Salad,Set jello with 1/2 c. less water than package instructions.  When partially set stir in Dream Whip.  Add fruits.  Set several hours to chill.,1,"lemon jello,mandarin oranges,pineapple tidbits,bananas, sliced,Dream Whip",large package,1,can,1,med. can,2,,2,cups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salads and Dressings
Lima Bean Salad,"Thoroughly mix vinegar, vegetable oil, and salt.  Cook beans until tender, drain and rinse under cold water.  Add other ingredients and toss.  Chill in refrigerator for 1-2 hours.",1,"frozen lima beans,fresh mushrooms, sliced,green onions, sliced,parsley, choped,oregano,vegetable oil,salt,pepper,garlic, crushed or 1/8 tsp. garlic pwder.",10z. pkg.,8,,4,,1,Tbsp,02-Jan,tsp,1,Tbsp,04-Mar,tsp,,dash,1,clove,,,,,,,,,,,,,,,,,,,,,,Salads and Dressings
Pea Salad,Stir together and enjoy.,1,"frozen peas, uncooked,green onion, chopped,crumbled bacon bits,water chestnuts, sliced,salted cashew pieces.,sour cream",bag,1,cup,1/2 to 1,cup,1,can,1,cup,1,small carton,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salads and Dressings
School French Dressing,,1,"oil,vinegar,salt and  pepper to taste,dry mustard,paprika,sugar",cup,02-Jan,cup,,,04-Jan,tsp,1,tsp,02-Jan,cup,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salads and Dressings
Spinach Salad,"Mix spinach and thinly sliced onion.  Fry bacon until crisp, drain.  To drippings add vinegar, water, sugar, and salt.  Bring to a boil.  Beat egg until light.  Add sour cream.  Pour boiling liquid over egg then pour back in skillet.  Cook over low heat until thick.  Pour over spinach, add bacon and chopped egg.  Toss lightly.",02-Jan,"spinach leaves,onion, red is best,bacon,vinegar,water,sugar,salt,egg, slightly beaten,egg, hard-boiled,sour cream",pound ,1,medium,2,slices,03-Feb,cup,02-Jan,cup,1,Tbsp,1,tsp,1,,1,,2,Tbsp,,,,,,,,,,,,,,,,,,,,Salads and Dressings
Spinach Salad with Avocado,"Clean spinach.  Tear for salad.  Cut avocado in small pieces.  Sprinkle with lemon.  Slice onion as thin as possible.  Combine spinach, avocado, onion, and oranges.  Mix remaining ingredients to make dressing.  Pour dressing over salad.  Sprinkle on bacon bits.",1,"fresh spinach,avocado,lemon juice,red onion,mandarin oranges,sour cream,garlic, crushed,salt,lemon peel,paprika,pepper,vinegar,olive oil",pound,1,,1,Tbsp,1,,1,can,2,Tbsp,1,clove,04-Jan,tsp,02-Jan,tsp,02-Jan,tsp,04-Jan,tsp,2,Tbsp,02-Jan,cup,6,slices,"bacon, crisp and crumbled",,,,,,,,,,,Salads and Dressings
Spinach Salad with Alfalfa Sprouts,"Mix dressing ingredients:  mayonnaise, catsup, lemon juice, and sugar.  Combine remaining ingredients.  Toss with dressing.",,"spinach greens,sliced onion,alfalfa sprouts,bacon bits,grated jack cheese,sunflower seeds,mayonnaise,catsup,lemon juice,sugar",,,,,,,,,,,,,,,,,,1,tsp,,,,,,,,,,,,,,,,,,,,Salads and Dressings
Summer Fruit Salad,Combine all ingredients.  Cover and chill several hours or overnight.,1,"pineapple chunks in juice,mandarin oranges,seedless grapes,cantaloupe, cut into chunks,watermelon chunks,marshmallows,sour cream",can,1,can,1,can,02-Jan,,2,cups,2,cups,1,pint,,,,,,,,,,,,,,,,,,,,,,,,,,Salads and Dressings
Top Ramen Salad,"Mix Ramen seasoning packet with oil, vinegar, and sugar.  pour over mixture of salad greens, red onion, and peas.  Add crushed Ramen noodles.",1,"chicken Ramen,oil,vinegar,sugar,salad greens,red onion,frozen peas",pkg.,04-Jan,cup,04-Jan,cup,04-Jan,cup,,,,,1,cup,,,,,,,,,,,,,,,,,,,,,,,,,,Salads and Dressings
Zucchini Apple Slaw,Mix together.  Put on crisp lettuce.  Top with dressing.,02-Jan,"mayonnaise,vinegar,sugar,caraway seed,zucchini, coarsely shredded,green onions, sliced,tart apples, cut in chunks,salt and pepper",cup,3,Tbsp,1,cup,1,tsp,4,cups,02-Jan,cup,2 or 3,,,,,,,,,,,,,,,,,,,,,,,,,,,Salads and Dressings
Broccoli Cheese Soup,"Place potato, broccoli (reserve 2 cups), carrots, garlic, onion, salt, and water in large saucepan.  Bring to boil, then simmer until all vegetables are very tender.  Puree in blender or food processor, and transfer to kettle or dutch oven.  Steam reserved broccoli pieces until just tender.  Add to puree along with all remaining ingredients.  Heat gently.  Serve topped with additional grated cheddar cheese.",1,"potato (2-3 cups), peeled and diced,broccoli florets, cut or broken,carrot, peeled and chopped,cloves of garlic, peeled,onion, chopped,salt,water,cheddar cheese, grated,low-fat milk,dill",large,2,cups,1,medium,3,medium,1 1/2,cups,1 1/2,tsp,4,cups,2,cups,04-Mar,cups,1,tsp,,,,,,,,,,,,,,,,,,,,Soup
Chicken Noodle Soup,"Boil chicken, remove from bones and chop.  Set aside.  Cook potato, carrots, celery, and onion in water to cover.  When tender add the chicken, bouillon cubes, poultry seasoning, and salt.  Add a large handful of narrow egg noodles.  Add more liquid if necessary and cook until noodles are tender.",2,"chicken, cooked and chopped,potato, diced,carrots, diced,celery, sliced,onion, chopped,chicken bouillion,poultry seasoning,salt, to taste,narrow egg noodles",cups,1,large,3,large,2,stalks,1,large,2,cubes,,dash,,,,large handful,,,,,,,,,,,,,,,,,,,,,,Soup
Cleo's Clam Chowder,"Boil potatoes.  Save water.  When potatoes are tender add bacon, onion, and celery.  Add half and half, milk and seasonings.  Thicken with a cup of flour mixed with water.  Add to boiling soup.  Stir in clams, but not too soon or they will get tough.",02-Jan,"bacon, chopped and browned,onion, suated,celery, sauted,potatoes, peeled and diced,half and half,milk,salt and pepper,thyme or basil,chopped clams with juice",pound,1,large,3,stocks,2,cups,1,pint,1,quart,,,,,4,cans,,,,,,,,,,,,,,,,,,,,,,Soup
Creamy Zucchini Mushroom Soup,"Combine zucchini, onion, garlic and butter in 2 qt. microwave-safe casserole.  Cover and microwave on high setting 5 to 7 minutes, stirring every 3 minutes, until vegetables are tender.  Place zucchini mixture in blender container; blend until smooth.  Return to casserole dish; add all remaining ingredients except sour cream, pepper and pine nuts.  Cover and microwave 5 to 6 minutes, or until heated through.  Stir in sour cream and season to taste with pepper.  Ladle into soup bowls and garnish with sprinkle of pine nuts.  Serve immediately.",3,"zucchini, thinly sliced (about 3/4 lb.),onion, chopped,garlic, minced,butter or margarine,cream of mushroom soup, condensed,water,milk,fresh oregano, chopped or 1/4 tsp dried,fresh basil, or 1/4 tsp dried,sour cream,ground pepper, to taste,pine nuts, toasted",cups,04-Jan,cups,3,cloves,1,Tbsp,1,10 oz. can,1 1/2,cups,02-Jan,cup,02-Jan,tsp,1 1/2,tsp,02-Jan,cup,,,02-Jan,cup,,,,,,,,,,,,,,,,Soup
Elephant Stew,"Cut elephant into bite-size pieces.  (Allow approximately 12 months.)  Add enough gravy to cover.  Cook over kerosene fire for 4 weeks at 463 degrees.  Makes 3,300 servings.  To extend recipe add rabbits, but only if necessary, as some people do not like to find hare in their stew.",1,"elephant,salt and pepper to taste,brown gravy,rabbits",medium,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soup
Hungry Bear Vegetable Soup,"Brown the meat, then add all of the ingredients, except the cabbage. Cover with water and simmer for about an hour until veggies are tender.  Then add the chopped cabbage and simmer again for about a half hour.  Add more liquid if necessary.",1,"hamburger,potatoes, diced,carrots, diced,onion, coarsely chopped,celery, sliced,stewed tomatoes, crushed,tomatoes, crushed,cabbage,salt, to taste",pound,2,large,4,large,1,large,2,stalks,1,large can,1,small can,02-Jan,head,,,,,,,,,,,,,,,,,,,,,,,,Soup
Mexican Meatball Soup,Mix first 8 ingredients.  Shape into 1' balls.  Brown in small amount of oil.  Put remaining ingredients in a large pot.  Heat to boiling.  Add meatballs.  Cover and simmer 15 minutes.  Salt and pepper to taste.  Add rice and simmer 15 minutes.  Salt and pepper to taste.  Add rice and simmer 15 minutes.,1,"hamburger,minute rice,egg,onion, finely chopped,garlic powder,oregano,cumin,chili powder,chicken or beef broth,tomatoes, crushed,carrots, chopped,onion, chopped,celery, chopped,oregano,cumin,chili powder,tomato sauce,instant rice",pound,04-Jan,cup,1,,04-Jan,cup,02-Jan,tsp,02-Jan,tsp,02-Jan,tsp,1,tsp,4,cups,2,cups,1,cup,1,,1,cup,1,tsp,garlic powder,1,tsp,1,tsp,1,Tbsp,1,cup,02-Jan,cup,Soup
Minestrone Soup,Brown hamburger and onions.  Add all other ingredients with enough water to cover.  Simmer two to three hours then add spaghetti and cook until tender.,1,"hamburger,potatoes, cubed,onion, chopped,carrots, diced,stalks of celery, chopped,kidney beans,frozen spinach,zucchini, diced,cabbage, chopped,stewed tomatoes,tomato sauce,spaghetti sauce mix,broken spaghetti",pound,4,,1,large,6,,3,,1,can,1,package,2,small,02-Jan,head,1,large can,1,large can,1,package,1,handful,,,,,,,,,,,,,,Soup
